en	definition	pl	ja	ko	vi	zh	ta	hu	fr	no	uk	ru	de	es	sv	fi	cs	sr	pt	it	fa	sw	nl	st	hi	da	bg	hr	et	el	ga	lv	lt	mt	ro	sk	sl	sq	eu	bs	ca	gl	is	lb	mk	tr	cy
month 	 A unit of time based on the lunar cycle, roughly 30 days.	miesiąc	月	달	tháng	月份	மாதம்	hónap	mois	måned	місяць	месяц	Monat	mes	månad	kuukausi	měsíc	mesec	mês	mese	ماه	mwezi	maand	Khoeli	महीना	måned	месец	mjesec	kuu	μήνας	mí	mēnesis	mėnuo	xahar	lună	mesiac	mesec	muaj	hilabete	mjesec	mes	mes	mánuður	Mount	месец	ay	mis
moon 	 The natural satellite that orbits the Earth.	księżyc	月	달	mặt trăng	月亮	நிலா	hold	lune	måne	Місяць	Луна	Mond	luna	måne	kuu	měsíc	Mesec	lua	luna	ماه	mwezi	maan	Ngwedi	चंद्रमा	måne	луна	mjesec	kuu	φεγγάρι	gealach	mēness	mėnulis	qamar	lună	mesiac	luna	hënë	ilargi	mjesec	lluna	lúa	tungl	Mound	месечина	ay	lleuad
morning 	 The early part of the day before noon.	poranek	朝	아침	buổi sáng	早晨	காலை	reggel	matin	morgen	ранок	утро	Morgen	mañana	morgon	aamu	ráno	jutro	manhã	mattina	صبح	asubuhi	ochtend	Mosa	सुबह	morgen	утро	jutro	hommik	πρωί	maidin	rīts	rytas	filgħodu	dimineață	ráno	jutro	mëngjes	goiz	jutro	matí	mañá	morgunn	Moien	утро	sabah	bore
mountain 	 A large, natural elevation of the Earth's surface.	góra	山	산	núi	山	மலை	hegy	montagne	fjell	гора	гора	Berg	montaña	berg	vuori	hora	planina	montanha	montagna	کوه	mlima	berg	Thaba	पहाड़	bjerg	планина	planina	mägi	βουνό	sliabh	kalns	kalnas	muntanja	munte	hora	gora	mal	mendi	planina	muntanya	montaña	fjall	Bierg	планина	dağ	mynydd
music 	 A combination of sounds organized in melody, harmony, and rhythm.	muzyka	音楽	음악	âm nhạc	音乐	இசை	zene	musique	musikk	музика	музыка	Musik	música	musik	musiikki	hudba	muzika	música	musica	موسیقی	muziki	muziek	mino	संगीत	musik	музика	glazba	muusika	μουσική	ceol	mūzika	muzika	mużika	muzică	hudba	glasba	muzikë	musika	muzika	música	música	tónlist	Musek	музика	müzik	cerddoriaeth
name 	 A word used to identify a person, place, or thing.	imię	名前	이름	tên	名字	பெயர்	név	nom	navn	ім'я	имя	Name	nombre	namn	nimi	jméno	ime	nome	nome	نام	jina	naam	Lebitso	नाम	navn	име	ime	nimi	όνομα	ainm	vārds	vardas	isem	nume	meno	ime	emër	izen	ime	nom	nome	nafn	Numm	име	ad	enw
newspaper 	 A printed publication with news, articles, and advertisements.	gazeta	新聞	신문	báo	报纸	செய்தித்தாள்	újság	journal	avis	газета	газета	Zeitung	periódico	tidning	sanomalehti	noviny	novine	jornal	giornale	روزنامه	gazeti	krant	Koranta	समाचार पत्र	avis	вестник	novine	ajaleht	εφημερίδα	nuachtán	avīze	laikraštis	gazzetta	ziar	noviny	časopis	gazetë	egunkari	novine	diari	xornal	blað	Zeitung	весник	gazete	papur newydd
night 	 The time between sunset and sunrise when it is dark.	noc	夜	밤	đêm	夜晚	இரவு	éjszaka	nuit	natt	ніч	ночь	Nacht	noche	natt	yö	noc	noć	noite	notte	شب	usiku	nacht	Bosiu	रात	nat	нощ	noć	öö	νύχτα	oíche	nakts	naktis	lejl	noapte	noc	noč	natë	gau	noć	nit	noite	nótt	Nuecht	ноќ	gece	nos
ocean 	 A vast body of salt water covering most of the Earth's surface.	ocean	海	바다	đại dương	海洋	பெருங்கடல்	óceán	océan	hav	океан	океан	Ozean	océano	hav	valtameri	oceán	okean	oceano	oceano	اقیانوس	bahari	oceaan	Lewatle	महासागर	ocean	океан	ocean	ookean	ωκεανός	aigéan	okeāns	vandenynas	oċean	ocean	oceán	ocean	oqean	ozeano	okean	oceà	océano	haf	Ozean	океан	okyanus	cefnfor
office 	 A place where professional or clerical work is conducted.	biuro	事務所	사무실	văn phòng	办公室	அலுவலகம்	iroda	bureau	kontor	офіс	офис	Büro	oficina	kontor	toimisto	kancelář	kancelarija	escritório	ufficio	دفتر	ofisi	kantoor	Ofisi	कार्यालय	kontor	офис	ured	kontor	γραφείο	oifig	birojs	biuras	uffiċċju	birou	kancelária	pisarna	zyrë	bulego	ured	oficina	oficina	skrifstofa	Bureau	канцеларија	ofis	swyddfa
orange 	 A round citrus fruit with a thick peel and juicy pulp.	pomarańcza	オレンジ	오렌지	cam	橙子	ஆரஞ்சு	narancs	orange	appelsin	апельсин	апельсин	Orange	naranja	apelsin	appelsiini	pomeranč	narandža	laranja	arancia	پرتقال	chungwa	sinaasappel	Lamunu	संतरा	appelsin	портокал	naranča	apelsin	πορτοκάλι	oráiste	apelsīns	apelsinas	larinġa	portocală	pomaranč	pomaranča	portokall	laranja	narandža	taronja	laranxa	appelsína	Orange	портокал	portakal	oren
page 	 A single side of a sheet in a book or document.	strona	ページ	쪽	trang	页	பக்கம்	oldal	page	side	сторінка	страница	Seite	página	sida	sivu	strana	stranica	página	pagina	صفحه	ukurasa	pagina	Leqephe	पृष्ठ	side	страница	stranica	leht	σελίδα	leathanach	lappuse	puslapis	paġna	pagină	strana	stran	faqe	orrialde	stranica	pàgina	páxina	síða	Säit	страница	sayfa	tudalen
painting 	 A picture created using paint on a surface.	obraz	絵	그림	tranh vẽ	画	ஓவியம்	festmény	peinture	maleri	картина	картина	Gemälde	pintura	målning	maalaus	obraz	slika	quadro	dipinto	نقاشی	mchoro	schilderij	setšoantšo	चित्रकला	maleri	картина	slika	maal	πίνακας	péintéireacht	glezna	paveikslas	pittura	tablou	obraz	slika	pikturë	margolan	slika	pintura	pintura	málverk	Gemielde	слика	resim	peintiad
paper 	 A thin material used for writing or printing.	papier	紙	종이	giấy	纸	காகிதம்	papír	papier	papir	папір	бумага	Papier	papel	papper	paperi	papír	papir	papel	carta	کاغذ	karatasi	papier	pampiri	कागज	papir	хартия	papir	paber	χαρτί	páipéar	papīrs	popierius	karta	hârtie	papier	papir	letër	paper	papir	paper	papel	pappír	Pabeier	хартија	kağıt	papur
park 	 A public space with greenery for recreation.	park	公園	공원	công viên	公园	பூங்கா	park	parc	park	парк	парк	Park	parque	park	puisto	park	park	parque	parco	پارک	bustani	park	Phaka	पार्क	park	парк	park	park	πάρκο	páirc	parks	parkas	park	parc	park	park	park	parke	park	parc	parque	garður	Park	парк	park	parc
party 	 A social gathering for celebration or entertainment.	przyjęcie	パーティー	파티	bữa tiệc	派对	விழா	buli	fête	fest	вечірка	вечеринка	Party	fiesta	fest	juhlat	večírek	žurka	festa	festa	مهمانی	sherehe	feest	Mokete	पार्टी	fest	партия	zabava	pidu	πάρτι	páirtí	ballīte	vakarėlis	festa	petrecere	večierok	zabava	festë	festa	zabava	festa	festa	veisla	Feier	забава	parti	parti
pencil 	 A writing instrument with a graphite core.	ołówek	鉛筆	연필	bút chì	铅笔	பென்சில்	ceruza	crayon	blyant	олівець	карандаш	Bleistift	lápiz	penna	lyijykynä	tužka	olovka	lápis	matita	مداد	penseli	potlood	Pentšele	पेंसिल	blyant	молив	olovka	pliiats	μολύβι	peann luaidhe	zīmulis	pieštukas	lapis	creion	ceruzka	svinčnik	laps	arkatza	olovka	llapis	lapis	blýantur	Stëft	молив	kalem	pensil
phone 	 A device used for voice communication.	telefon	電話	전화	điện thoại	电话	தொலைபேசி	telefon	téléphone	telefon	телефон	телефон	Telefon	teléfono	telefon	puhelin	telefon	telefon	telefone	telefono	تلفن	simu	telefoon	Mohala	फोन	telefon	телефон	telefon	telefon	τηλέφωνο	fón	tālrunis	telefonas	telefon	telefon	telefón	telefon	telefon	telefono	telefon	telèfon	teléfono	sími	Telefon	телефон	telefon	ffôn
picture 	 A visual representation of an object, scene, or person.	obrazek	絵	사진	bức tranh	图片	படம்	kép	image	bilde	картина	картина	Bild	imagen	bild	kuva	obrázek	slika	imagem	immagine	تصویر	picha	afbeelding	Setšoantšo	चित्र	billede	снимка	slika	pilt	εικόνα	pictiúr	attēls	nuotrauka	ritratt	poză	fotografia	fotografija	foto	argazki	slika	fotografia	foto	mynd	Bild	слика	resim	llun
plane 	 A flying vehicle with wings and engines.	samolot	飛行機	비행기	máy bay	飞机	விமானம்	repülőgép	avion	fly	літак	самолёт	Flugzeug	avión	flygplan	lentokone	letadlo	avion	avião	aereo	هواپیما	ndege	vliegtuig	Sefofane	विमान	flyvemaskine	самолет	avion	lennuk	αεροπλάνο	eitleán	lidmašīna	lėktuvas	ajruplan	avion	lietadlo	letalo	aeroplan	hegazkin	avion	avió	avión	flugvél	Fliger	авион	uçak	awyren
planet 	 A celestial body orbiting a star, such as Earth.	planeta	惑星	행성	hành tinh	行星	கோள்	bolygó	planète	planet	планета	планета	Planet	planeta	planet	planeetta	planeta	planeta	planeta	pianeta	سیاره	sayari	planeet	Polanete	ग्रह	planet	планета	planet	planeet	πλανήτης	pláinéad	planēta	planeta	pjaneta	planetă	planéta	planet	planet	planeta	planet	planeta	planeta	reikistjarna	Planéit	планета	gezegen	planed
plant 	 A living organism that grows in soil and uses photosynthesis.	roślina	植物	식물	cây cối	植物	செடி	növény	plante	plante	рослина	растение	Pflanze	planta	växt	kasvi	rostlina	biljka	planta	pianta	گیاه	mmea	plant	Semela	पौधा	plante	растение	biljka	taim	φυτό	planda	augs	augalas	pjanta	plantă	rastlina	rastlina	bimë	landare	biljka	planta	planta	planta	Planz	растение	bitki	planhigyn
police 	 A government force responsible for law enforcement.	policja	警察	경찰	cảnh sát	警察	காவல்	rendőrség	police	politi	поліція	полиция	Polizei	policía	polis	poliisi	policie	policija	polícia	polizia	پلیس	polisi	politie	Mapolesa	पुलिस	politi	полиция	policija	politsei	αστυνομία	póilíní	policija	policija	pulizija	poliție	polícia	policija	polici	polizia	policija	policia	policía	lögregla	Police	полиција	polis	heddlu
queen 	 A female ruler or the wife of a king.	królowa	女王	여왕	nữ hoàng	女王	அரசி	királynő	reine	dronning	королева	королева	Königin	reina	drottning	kuningatar	královna	kraljica	rainha	regina	ملکه	malkia	koningin	Kgosihadi	रानी	dronning	кралица	kraljica	kuninganna	βασίλισσα	banríon	karaliene	karalienė	reġina	regină	kráľovná	kraljica	mbretëreshë	erregina	kraljica	reina	raíña	drottning	Kinnigin	кралица	kraliçe	brenhines
question 	 A sentence or phrase used to ask for information.	pytanie	質問	질문	câu hỏi	问题	கேள்வி	kérdés	question	spørsmål	питання	вопрос	Frage	pregunta	fråga	kysymys	otázka	pitanje	pergunta	domanda	سوال	swali	vraag	Potso	प्रश्न	spørgsmål	въпрос	pitanje	küsimus	ερώτηση	ceist	jautājums	klausimas	mistoqsija	întrebare	otázka	vprašanje	pyetje	galdera	pitanje	pregunta	pregunta	spurning	Fro	прашање	soru	cwestiwn
rain 	 Water droplets falling from clouds.	deszcz	雨	비	mưa	雨	மழை	eső	pluie	regn	дощ	дождь	Regen	lluvia	regn	sade	déšť	kiša	chuva	pioggia	باران	mvua	regen	Pula	बारिश	regn	дъжд	kiša	vihm	βροχή	báisteach	lietus	lietus	xita	ploaie	dážď	dež	shi	euri	kiša	pluja	chuvia	rigning	Reen	дожд	yağmur	glaw
river 	 A large, flowing body of water.	rzeka	川	강	sông	河流	ஆறு	folyó	rivière	elv	річка	река	Fluss	río	flod	joki	řeka	reka	rio	fiume	رودخانه	mto	rivier	Noka	नदी	flod	река	rijeka	jõgi	ποτάμι	abhainn	upe	upė	xmara	râu	rieka	reka	lumë	ibai	rijeka	riu	río	á	Floss	река	nehir	afon
road 	 A paved path for vehicles and pedestrians.	droga	道	도로	đường	道路	சாலை	út	route	vei	дорога	дорога	Straße	carretera	väg	tie	silnice	put 	estrada	strada	جاده	barabara	weg	Tsela	सड़क	vej	път	cesta	tee	δρόμος	bóthar	ceļš	kelias	triq	drum	cesta	cesta	rrugë	bide	cesta	carretera	estrada	vegur	Wee	пат	yol	ffordd
room 	 An enclosed space within a building.	pokój	部屋	방	phòng	房间	அறை	szoba	pièce	rom	кімната	комната	Raum	habitación	rum	huone	místnost	soba	sala	stanza	اتاق	chumba	kamer	Kamore	कमरा	værelse	стая	soba	tuba	δωμάτιο	seomra	istaba	kambarys	kamra	cameră	izba	soba	dhomë	gela	soba	habitació	cuarto	herbergi	Zëmmer	соба	oda	ystafell
school 	 A place where students receive education.	szkoła	学校	학교	trường học	学校	பள்ளி	iskola	école	skole	школа	школа	Schule	escuela	skola	koulu	škola	škola	escola	scuola	مدرسه	shule	school	Sekolo	स्कूल	skole	училище	škola	kool	σχολείο	scoil	skola	mokykla	skola	școală	škola	šola	shkollë	eskola	škola	escola	escola	skóli	Schoul	училиште	okul	ysgol
ship 	 A large vessel used for traveling on water.	statek	船	배	tàu	船	கப்பல்	hajó	navire	skip	корабель	корабль	Schiff	barco	skepp	laiva	loď	brod	navio	nave	کشتی	meli	schip	Sekepe	जहाज	skib	кораб	brod	laev	πλοίο	long	kuģis	laivas	bastiment	navă	loď	ladja	anije	ontzi	brod	vaixell	barco	skip	Schëff	брод	gemi	llong
shoe 	 A covering for the foot, usually made of leather or fabric.	but	靴	신발	giày	鞋子	காலணி	cipő	chaussure	sko	взуття	обувь	Schuh	zapato	sko	kenkä	bota	cipela	sapato	scarpa	کفش	kiatu	schoen	Seeta	जूता	sko	обувка	cipela	king	παπούτσι	bróg	kurpe	batas	żarbun	pantof	topánka	čevelj	këpucë	zapata	cipela	sabata	zapato	skór	Schong	чевел	ayakkabı	esgid
star 	 A luminous celestial body made of plasma.	gwiazda	星	별	ngôi sao	星星	நட்சத்திரம்	csillag	étoile	stjerne	зірка	звезда	Stern	estrella	stjärna	tähti	hvězda	zvezda	estrela	stella	ستاره	nyota	ster	Naledi	तारा	stjerne	звезда	zvijezda	täht	αστέρι	réalta	zvaigzne	žvaigždė	stilla	stea	hviezda	zvezda	yll	izar	zvijezda	estrella	estrela	stjarna	Stär	ѕвезда	yıldız	seren
street 	 A public road in a city or town.	ulica	通り	거리	phố	街道	தெரு	utca	rue	gate	вулиця	улица	Straße	calle	gata	katu	ulice	ulica	rua	strada	خیابان	mtaa	straat	Seterata	सड़क	gade	улица	ulica	tänav	οδός	sráid	iela	gatvė	triq	stradă	ulica	ulica	rrugë	kale	ulica	carrer	rúa	gata	Strooss	улица	cadde	stryd
table 	 A flat surface supported by legs, used for eating or working.	stół	テーブル	탁자	bàn	桌子	மேசை	asztal	table	bord	стіл	стол	Tisch	mesa	bord	pöytä	stůl	sto	mesa	tavolo	میز	meza	tafel	Tafole	मेज	bord	маса	stol	laud	τραπέζι	tábla	galds	stalas	mejda	masă	stôl	miza	tryezë	mahai	stol	taula	mesa	borð	Dësch	маса	masa	bwrdd
tree 	 A tall plant with a trunk, branches, and leaves.	drzewo	木	나무	cây	树	மரம்	fa	arbre	tre	дерево	дерево	Baum	árbol	träd	puu	strom	drvo	árvore	albero	درخت	mti	boom	Sefate	पेड़	træ	дърво	drvo	puu	δέντρο	crann	koks	medis	siġra	copac	strom	drevo	pemë	zuhaitz	drvo	arbre	árbore	tré	Bam	дрво	ağaç	coeden
